code	display_name	date	weight
000518.XSHE	四环生物	2018-09-30	0.268
002898.XSHE	赛隆药业	2018-09-30	0.061
600056.XSHG	中国医药	2018-09-30	0.564
600055.XSHG	万东医疗	2018-09-30	0.146
000513.XSHE	丽珠集团	2018-09-30	0.682
002001.XSHE	新和成	2018-09-30	0.821
000597.XSHE	东北制药	2018-09-30	0.267
300630.XSHE	普利制药	2018-09-30	0.214
300463.XSHE	迈克生物	2018-09-30	0.405
600594.XSHG	益佰制药	2018-09-30	0.295
002007.XSHE	华兰生物	2018-09-30	1.19
000661.XSHE	长春高新	2018-09-30	1.963
300267.XSHE	尔康制药	2018-09-30	0.176
002262.XSHE	恩华药业	2018-09-30	0.533
002737.XSHE	葵花药业	2018-09-30	0.281
300439.XSHE	美康生物	2018-09-30	0.143
002198.XSHE	嘉应制药	2018-09-30	0.146
002923.XSHE	润都股份	2018-09-30	0.056
600161.XSHG	天坛生物	2018-09-30	0.504
002432.XSHE	九安医疗	2018-09-30	0.121
002435.XSHE	长江润发	2018-09-30	0.128
002437.XSHE	誉衡药业	2018-09-30	0.237
300181.XSHE	佐力药业	2018-09-30	0.101
600518.XSHG	康美药业	2018-09-30	3.893
300347.XSHE	泰格医药	2018-09-30	1.013
300583.XSHE	赛托生物	2018-09-30	0.101
600285.XSHG	羚锐制药	2018-09-30	0.253
600763.XSHG	通策医疗	2018-09-30	0.65
600222.XSHG	太龙药业	2018-09-30	0.102
600227.XSHG	圣济堂	2018-09-30	0.219
002688.XSHE	金河生物	2018-09-30	0.099
300246.XSHE	宝莱特	2018-09-30	0.085
300725.XSHE	药石科技	2018-09-30	0.121
603387.XSHG	基蛋生物	2018-09-30	0.154
002019.XSHE	亿帆医药	2018-09-30	0.484
300519.XSHE	新光药业	2018-09-30	0.052
603658.XSHG	安图生物	2018-09-30	0.352
600613.XSHG	神奇制药	2018-09-30	0.07
600511.XSHG	国药股份	2018-09-30	0.497
300199.XSHE	翰宇药业	2018-09-30	0.326
300705.XSHE	九典制药	2018-09-30	0.079
