	code	name	market_cap	weight
267		星网锐捷		0.206
268		中远海科		0.045
269		和而泰		0.164
270		雅克科技		0.062
271		雷科防务		0.148
272		康盛股份		0.073
273		天虹股份		0.177
274		达实智能		0.165
275		凯撒文化		0.118
276		云南锗业		0.098
277		兆驰股份		0.149
278		杭氧股份		0.117
279		九安医疗		0.054
280		太安堂		0.08
281		兴森科技		0.123
282		金洲管道		0.081
283		盛路通信		0.112
284		晨鑫科技		0.12
285		中原内配		0.078
286		国星光电		0.179
287		摩恩电气		0.053
288		华软科技		0.08
289		益生股份		0.12
290		珠江啤酒		0.05
291		嘉事堂		0.091
292		众应互联		0.057
293		二六三		0.104
294		榕基软件		0.109
295		双塔食品		0.074
296		江海股份		0.096
297		希努尔		0.044
298		金固股份		0.186
299		雅化集团		0.134
300		利源精制		0.078
301		骅威文化		0.056
302		天汽模		0.087
303		中顺洁柔		0.154
304		金字火腿		0.075
305		旷达科技		0.064
306		科士达		0.074
307		银河电子		0.053
308		齐峰新材		0.063
309		浙江众成		0.065
310		金财互联		0.067
311		天顺风能		0.149
312		杭锅股份		0.038
313		海联金汇		0.193
314		司尔特		0.065
315		云图控股		0.073
316		亚太科技		0.073
317		中化岩土		0.106
318		万和电气		0.064
319		东方铁塔		0.075
320		春兴精工		0.134
321		千红制药		0.115
322		惠博普		0.064
323		辉隆股份		0.067
324		洽洽食品		0.165
325		兄弟科技		0.07
326		天沃科技		0.091
327		唐人神		0.139
328		百润股份		0.098
329		明牌珠宝		0.04
330		雷柏科技		0.036
331		未名医药		0.066
332		好想你		0.08
333		西陇科学		0.055
334		双星新材		0.116
335		围海股份		0.063
336		万安科技		0.051
337		海南瑞泽		0.144
338		金禾实业		0.15
339		姚记扑克		0.043
340		捷顺科技		0.068
341		爱康科技		0.207
342		东方精工		0.076
343		奥佳华		0.149
344		长青集团		0.065
345		露笑科技		0.067
346		丹邦科技		0.175
347		艾格拉斯		0.102
348		融钰集团		0.086
349		金达威		0.083
350		华西能源		0.083
351		德尔未来		0.06
352		金安国纪		0.07
353		勤上股份		0.057
354		万润股份		0.174
355		仁东控股		0.079
356		卫星石化		0.159
357		博彦科技		0.1
358		加加食品		0.071
359		利君股份		0.056
360		海思科		0.06
361		摩登大道		0.057
362		中科金财		0.132
363		雪迪龙		0.052
364		京威股份		0.076
365		长鹰信质		0.07
366		奥马电器		0.111
367		东诚药业		0.128
368		浙江美大		0.093
369		华东重机		0.052
370		煌上煌		0.066
371		红旗连锁		0.157
372		博实股份		0.113
373		浙江世宝		0.031
374		新宝股份		0.107
375		欧浦智网		0.056
376		思美传媒		0.053
377		金贵银业		0.133
378		岭南股份		0.095
379		金一文化		0.082
380		龙大肉食		0.069
381		一心堂		0.145
382		雄韬股份		0.107
383		葵花药业		0.138
384		三圣股份		0.033
385		仙坛股份		0.09
386		埃斯顿		0.092
387		易尚展示		0.052
388		昇兴股份		0.048
389		永兴特钢		0.072
390		天际股份		0.033
391		索菱股份		0.033
392		国恩股份		0.069
393		普路通		0.061
394		众兴菌业		0.052
395		奇信股份		0.049
396		可立克		0.049
397		鹭燕医药		0.037
398		通宇通讯		0.073
399		微光股份		0.024
400		恩捷股份		0.218
401		凯莱英		0.321
402		中装建设		0.046
403		弘亚数控		0.064
404		华统股份		0.064
405		科达利		0.052
406		麦格米特		0.113
407		道道全		0.047
408		洁美科技		0.09
409		周大生		0.086
410		天圣制药		0.059
411		川恒股份		0.042
412		大博医疗		0.033
413		华阳集团		0.027
414		华森制药		0.026
415		佛燃股份		0.027
416		中新赛克		0.097
417		蒙娜丽莎		0.042
418		华夏航空		0.024
419		润建通信		0.059
420		宏川智慧		0.046
421		探路者		0.073
422		莱美药业		0.092
423		汉威科技		0.082
424		天海防务		0.068
425		安科生物		0.259
426		鼎汉技术		0.052
427		华测检测		0.294
428		亿纬锂能		0.263
429		北陆药业		0.087
430		银江股份		0.107
431		大禹节水		0.078
432		宝通科技		0.09
433		钢研高纳		0.076
434		超图软件		0.16
435		新宙邦		0.147
436		数知科技		0.223
437		上海凯宝		0.097
438		赛为智能		0.096
439		华力创通		0.098
440		天源迪科		0.132
441		合康新能		0.06
442		世纪鼎利		0.063
443		欧比特		0.146
444		鼎龙股份		0.169
445		康旗股份		0.043
446		豫金刚石		0.064
447		海兰信		0.107
448		三川智慧		0.074
449		南都电源		0.17
450		当升科技		0.182
451		数字政通		0.099
452		国民技术		0.134
453		思创医惠		0.155
454		数码科技		0.276
455		劲胜智能		0.079
456		银之杰		0.157
457		金通灵		0.101
458		易联众		0.112
459		智云股份		0.059
460		高新兴		0.209
461		双林股份		0.05
462		振芯科技		0.125
463		乾照光电		0.126
464		新开源		0.045
465		华仁药业		0.078
466		中航电测		0.061
467		东方日升		0.15
468		亚光科技		0.072
469		锦富技术		0.095
470		新国都		0.105
471		英唐智控		0.104
472		先河环保		0.15
473		中环装备		0.046
474		星普医科		0.051
475		中金环境		0.121
476		天舟文化		0.063
477		量子生物		0.154
478		恒泰艾普		0.077
479		振东制药		0.066
480		秀强股份		0.032
481		汉得信息		0.298
482		东富龙		0.067
483		中电环保		0.049
484		智慧松德		0.042
485		派生科技		0.41
486		中海达		0.107
487		腾邦国际		0.099
488		华峰超纤		0.202
489		东软载波		0.09
490		力源信息		0.082
491		通裕重工		0.149
492		美亚柏科		0.207
493		潜能恒信		0.056
494		福安药业		0.049
495		纳川股份		0.095
496		聚光科技		0.219
497		天喻信息		0.08
498		欣旺达		0.232
499		青岛中程		0.106
500		天泽信息		0.062
501		易华录		0.195
502		佳讯飞鸿		0.073
503		电科院		0.066
504		鸿利智汇		0.09
505		银禧科技		0.063
506		科大智能		0.16
507		北京君正		0.103
508		正海磁材		0.057
509		上海钢联		0.269
510		富瑞特装		0.081
511		拓尔思		0.069
512		银信科技		0.073
513		洲明科技		0.11
514		金城医药		0.074
515		上海新阳		0.102
516		美晨生态		0.08
517		冠昊生物		0.095
518		佳云科技		0.047
519		天玑科技		0.06
520		新开普		0.067
521		金信诺		0.097
522		常山药业		0.088
523		星星科技		0.069
524		巴安水务		0.068
525		隆华科技		0.073
526		联建光电		0.056
527		华宇软件		0.283
528		三丰智能		0.056
529		华昌达		0.05
530		苏交科		0.155
531		国瓷材料		0.248
532		朗玛信息		0.082
533		吴通控股		0.098
534		博雅生物		0.132
535		三诺生物		0.071
