	名称	代码	市值（亿元）	涨跌幅	pe	pb	一级行业代码	一级行业名称	二级行业代码	二级行业名称	持有市值（元）	日盈亏	相关指数
358	华数传媒	000156.XSHE	118.9682	0.6%	17.82	1.09	801760	传媒I	801761	文化传媒II	700.87	4.21	中证500,中证传媒
359	东江环保	002672.XSHE	80.8926	0.0%	22.02	1.9	801160	公用事业I	801162	环保工程及服务II	700.71	0.0	中证500,中证环保
360	中泰化学	002092.XSHE	137.5874	0.94%	16.71	0.73	801030	化工I	801033	化学原料II	700.68	6.59	基本面60,基本面120,中证500
361	绝味食品	603517.XSHG	269.5017	-1.76%	35.11	7.46	801120	食品饮料I	801124	食品加工II	699.93	-12.32	中证500
362	国药一致	000028.XSHE	188.7184	-2.9%	15.15	1.52	801150	医药生物I	801154	医药商业II	699.68	-20.29	基本面120,中证500,全指医药
363	中信国安	000839.XSHE	129.7463	0.6%	6.23	1.42	801230	综合I	801231	综合II	698.59	4.19	中证传媒
364	恒立液压	601100.XSHG	397.782	-4.68%	38.46	7.66	801890	机械设备I	801072	通用机械II	692.26	-32.4	中证500
365	中国医药	600056.XSHG	135.1634	0.16%	10.62	1.51	801150	医药生物I	801154	医药商业II	690.63	1.11	中证500,全指医药
366	中金岭南	000060.XSHE	142.0735	-0.25%	18.07	1.32	801050	有色金属I	801055	工业金属II	688.14	-1.72	基本面120,中证500
367	蓝光发展	600466.XSHG	201.0592	-0.75%	5.68	1.48	801180	房地产I	801181	房地产开发II	687.78	-5.16	中证500,金融地产
368	华创阳安	600155.XSHG	208.7468	3.17%	92.48	1.38	801790	非银金融I	801193	证券II	686.26	21.75	中证500,证券公司,金融地产
369	联化科技	002250.XSHE	132.7613	-0.84%	38.08	2.22	801030	化工I	801034	化学制品II	684.6	-5.75	中证500
370	国元证券	000728.XSHE	279.6686	0.24%	26.84	1.14	801790	非银金融I	801193	证券II	680.59	1.63	沪深300,基本面120,证券公司,金融地产
371	上港集团	600018.XSHG	1295.4084	-0.18%	10.85	1.61	801170	交通运输I	801171	港口II	680.17	-1.22	沪深300,300价值,中证红利
372	锡业股份	000960.XSHE	160.7032	0.0%	21.97	1.29	801050	有色金属I	801054	稀有金属II	680.11	0.0	基本面120,中证500
373	赣粤高速	600269.XSHG	93.8834	0.0%	6.95	0.6	801170	交通运输I	801175	高速公路II	678.17	0.0	中证1000,中证红利
374	比亚迪	002594.XSHE	1178.0121	-0.12%	41.66	2.25	801880	汽车I	801094	汽车整车II	677.94	-0.81	沪深300,基本面60,基本面120,中证环保
375	玲珑轮胎	601966.XSHG	249.0025	-1.93%	16.47	2.42	801030	化工I	801037	橡胶II	676.94	-13.06	中证500
376	鲁西化工	000830.XSHE	134.3277	0.22%	8.5	1.3	801030	化工I	801034	化学制品II	674.25	1.48	基本面120,中证500
377	捷佳伟创	300724.XSHE	106.656	0.03%	27.65	4.25	801890	机械设备I	801074	专用设备II	670.59	0.2	中证1000,创业板,中证环保
378	台海核电	002366.XSHE	60.2605	0.43%	48.83	1.95	801890	机械设备I	801074	专用设备II	669.19	2.88	中证500,中证环保
379	亚泰集团	600881.XSHG	97.1425	-0.33%	-44.28	0.67	801710	建筑材料I	801711	水泥制造II	666.72	-2.2	中证500
380	山鹰纸业	600567.XSHG	150.3785	-0.61%	6.8	1.08	801140	轻工制造I	801143	造纸II	666.72	-4.07	中证500
381	华友钴业	603799.XSHG	328.9948	-1.11%	-113.06	4.25	801050	有色金属I	801054	稀有金属II	665.63	-7.39	沪深300,中证环保
382	华夏幸福	600340.XSHG	841.4259	0.18%	6.18	2.11	801180	房地产I	801181	房地产开发II	664.54	1.2	上证50,沪深300,300价值,金融地产
383	中远海发	601866.XSHG	289.0423	0.0%	15.44	1.73	801170	交通运输I	801176	航运II	664.16	0.0	中证500
384	美亚光电	002690.XSHE	248.6328	-0.22%	46.97	11.1	801890	机械设备I	801074	专用设备II	664.16	-1.46	中证500
385	合力泰	002217.XSHE	148.3414	1.47%	17.68	1.24	801080	电子I	801084	光学光电子II	664.16	9.76	中证500
386	深圳机场	000089.XSHE	194.0028	0.11%	33.92	1.62	801170	交通运输I	801174	机场II	661.61	0.73	中证500
387	美锦能源	000723.XSHE	341.8785	-1.92%	23.72	4.27	801020	采掘I	801021	煤炭开采II	661.61	-12.7	中证500
388	以岭药业	002603.XSHE	136.8627	-1.06%	22.35	1.73	801150	医药生物I	801155	中药II	660.4	-7.0	中证500,全指医药
389	中牧股份	600195.XSHG	104.7113	-2.25%	29.97	2.53	801010	农林牧渔I	801018	动物保健II	657.23	-14.79	中证500,全指医药
390	华润双鹤	600062.XSHG	129.4658	-0.64%	12.41	1.53	801150	医药生物I	801151	化学制药II	657.23	-4.21	中证500,全指医药
391	创业环保	600874.XSHG	99.6205	-0.29%	21.12	1.65	801160	公用事业I	801164	水务II	656.72	-1.9	中证500,中证环保
392	东方集团	600811.XSHG	122.2096	-0.61%	34.31	0.58	801230	综合I	801231	综合II	656.5	-4.0	中证500
393	国轩高科	002074.XSHE	137.0801	-0.91%	27.44	1.53	801730	电气设备I	801733	电源设备II	653.95	-5.95	中证500
394	扬农化工	600486.XSHG	175.7747	-0.07%	17.03	3.5	801030	化工I	801034	化学制品II	653.95	-0.46	中证500
395	大悦城	000031.XSHE	270.0999	0.58%	12.46	1.57	801180	房地产I	801181	房地产开发II	651.96	3.78	中证500,金融地产
396	凯乐科技	600260.XSHG	121.5869	-0.08%	11.81	1.9	801770	通信I	801102	通信设备II	651.39	-0.52	中证500
397	四川长虹	600839.XSHG	121.8688	1.52%	77.8	0.94	801110	家用电器I	801112	视听器材II	651.39	9.9	中证500
398	数知科技	300038.XSHE	97.0273	-0.85%	16.7	0.88	801760	传媒I	801751	营销传播II	646.58	-5.5	中证1000,创业板,中证传媒
399	巨化股份	600160.XSHG	180.3574	-0.15%	13.03	1.39	801030	化工I	801034	化学制品II	646.28	-0.97	中证500
400	中粮糖业	600737.XSHG	174.53	-0.98%	59.2	2.19	801010	农林牧渔I	801012	农产品加工II	646.28	-6.33	中证500
401	欧普照明	603515.XSHG	195.0644	-0.19%	20.95	4.09	801080	电子I	801084	光学光电子II	646.01	-1.23	中证500,中证环保
402	当升科技	300073.XSHE	93.28399999999999	1.17%	28.23	2.7	801030	化工I	801034	化学制品II	645.6	7.55	中证1000,创业板,中证环保
403	京东方A	000725.XSHE	1336.2585	1.56%	70.02	1.54	801080	电子I	801084	光学光电子II	645.08	10.06	沪深300,基本面60,基本面120
404	爱建集团	600643.XSHG	138.9988	0.82%	10.2	1.32	801790	非银金融I	801191	多元金融II	643.82	5.28	中证500,金融地产
405	环旭电子	601231.XSHG	344.6663	0.38%	27.28	3.52	801080	电子I	801085	电子制造II	643.73	2.45	中证500
406	东软集团	600718.XSHG	131.567	0.57%	610.94	1.51	801750	计算机I	801222	计算机应用II	643.73	3.67	中证500
407	中国天楹	000035.XSHE	159.7551	0.0%	36.27	1.56	801160	公用事业I	801162	环保工程及服务II	642.36	0.0	中证1000,中证环保
408	劲嘉股份	002191.XSHE	162.3076	0.27%	19.02	2.42	801140	轻工制造I	801141	包装印刷II	638.62	1.72	中证500
409	云南铜业	000878.XSHE	189.0043	0.36%	59.89	2.26	801050	有色金属I	801055	工业金属II	638.35	2.3	基本面60,基本面120,中证500
410	西山煤电	000983.XSHE	181.19400000000002	0.35%	8.69	0.86	801020	采掘I	801021	煤炭开采II	635.52	2.22	基本面60,基本面120,中证500
411	我武生物	300357.XSHE	248.3359	-3.46%	85.6	20.37	801150	医药生物I	801152	生物制品II	631.56	-21.85	中证1000,创业板,全指医药
412	山东钢铁	600022.XSHG	149.9677	0.0%	84.21	0.73	801040	钢铁I	801041	钢铁II	630.96	0.0	中证500
413	东华能源	002221.XSHE	128.3531	1.67%	10.82	1.39	801030	化工I	801035	石油化工II	630.96	10.54	中证500
414	鹏博士	600804.XSHG	85.6572	-0.33%	100.36	1.23	801770	通信I	801102	通信设备II	628.4	-2.07	中证500
415	中原高速	600020.XSHG	93.0412	0.0%	7.86	0.9	801170	交通运输I	801175	高速公路II	627.91	0.0	中证1000,中证红利
416	厦门国贸	600755.XSHG	128.7649	-0.14%	5.82	1.0	801200	商业贸易I	801202	贸易II	620.74	-0.87	中证500
417	海普瑞	002399.XSHE	214.394	0.06%	25.63	3.14	801150	医药生物I	801151	化学制药II	618.82	0.37	中证500,全指医药
418	福田汽车	600166.XSHG	126.2437	1.56%	-7.78	0.83	801880	汽车I	801094	汽车整车II	618.18	9.64	中证500
419	山东出版	601019.XSHG	138.5702	0.3%	9.53	1.37	801760	传媒I	801761	文化传媒II	615.76	1.85	中证500,中证传媒
420	万和电气	002543.XSHE	67.2958	0.0%	11.89	1.93	801110	家用电器I	801111	白色家电II	615.7	0.0	中证1000,中证红利
421	众生药业	002317.XSHE	80.6316	-0.71%	17.77	1.97	801150	医药生物I	801155	中药II	612.48	-4.35	中证500,全指医药
422	天顺风能	002531.XSHE	104.6063	1.36%	15.9	1.85	801730	电气设备I	801733	电源设备II	611.54	8.32	中证1000,中证环保
423	立思辰	300010.XSHE	87.9613	1.48%	-6.56	2.62	801750	计算机I	801222	计算机应用II	611.22	9.05	中证500,创业板
424	西部证券	002673.XSHE	307.4615	0.46%	81.15	1.74	801790	非银金融I	801193	证券II	610.91	2.81	沪深300,基本面120,证券公司,金融地产
425	万丰奥威	002085.XSHE	148.7078	-0.44%	19.16	2.45	801880	汽车I	801093	汽车零部件II	607.97	-2.68	中证500
426	风华高科	000636.XSHE	115.9327	2.55%	24.02	2.09	801080	电子I	801083	元件II	605.41	15.44	中证500
427	海正药业	600267.XSHG	102.9257	-1.97%	13.63	1.38	801150	医药生物I	801151	化学制药II	604.92	-11.92	中证500,全指医药
428	仙琚制药	002332.XSHE	103.8068	-4.5%	27.28	3.67	801150	医药生物I	801151	化学制药II	603.69	-27.17	中证500,全指医药
429	城建发展	600266.XSHG	149.4956	-0.38%	6.34	0.72	801180	房地产I	801181	房地产开发II	599.86	-2.28	中证500,金融地产
430	招商蛇口	001979.XSHE	1450.6506	-1.15%	12.03	2.22	801180	房地产I	801181	房地产开发II	599.05	-6.89	沪深300,300价值,基本面60,基本面120,金融地产
431	建发股份	600153.XSHG	224.2644	1.01%	4.69	0.8	801170	交通运输I	801178	物流II	596.98	6.03	沪深300,300价值,中证红利
432	海利得	002206.XSHE	44.028999999999996	1.94%	14.47	1.61	801030	化工I	801032	化学纤维II	596.4	11.57	中证1000,中证红利
433	特变电工	600089.XSHG	241.8018	-0.61%	13.61	0.8	801730	电气设备I	801734	高低压设备II	595.32	-3.63	沪深300,300价值,中证环保
434	内蒙一机	600967.XSHG	167.1046	-0.4%	27.6	1.89	801740	国防军工I	801743	地面兵装II	592.64	-2.37	中证500
435	陕国投A	000563.XSHE	156.1821	1.27%	28.8	1.45	801790	非银金融I	801191	多元金融II	591.72	7.51	中证500,金融地产
436	华能国际	600011.XSHG	935.6064	0.34%	19.33	1.21	801160	公用事业I	801161	电力II	591.54	2.01	沪深300,300价值,中证红利
437	新宙邦	300037.XSHE	112.1252	0.24%	31.91	3.69	801030	化工I	801034	化学制品II	589.83	1.42	中证1000,中证环保
438	盛和资源	600392.XSHG	146.5565	-2.16%	71.33	2.7	801050	有色金属I	801054	稀有金属II	587.53	-12.69	中证500
439	锦龙股份	000712.XSHE	118.1824	0.83%	543.34	3.48	801790	非银金融I	801193	证券II	587.17	4.87	中证500,证券公司,金融地产
440	华能水电	600025.XSHG	757.8	-0.95%	9.0	1.63	801160	公用事业I	801161	电力II	585.45	-5.56	沪深300,300价值,中证环保
441	瀚蓝环境	600323.XSHG	133.0234	-1.5%	15.32	2.07	801160	公用事业I	801162	环保工程及服务II	583.09	-8.75	中证1000,中证环保
442	达安基因	002030.XSHE	82.9309	-0.38%	80.29	3.53	801150	医药生物I	801153	医疗器械II	582.24	-2.21	中证500,全指医药
443	东兴证券	601198.XSHG	296.7566	0.74%	22.2	1.46	801790	非银金融I	801193	证券II	581.32	4.3	沪深300,证券公司,金融地产
444	南京高科	600064.XSHG	112.9665	0.22%	6.85	0.98	801180	房地产I	801182	园区开发II	578.23	1.27	中证500,金融地产
445	上海贝岭	600171.XSHG	98.2562	0.79%	56.28	3.34	801080	电子I	801081	半导体II	577.31	4.56	中证500
446	中国核电	601985.XSHG	753.3668	0.21%	16.3	1.57	801160	公用事业I	801161	电力II	576.66	1.21	沪深300,中证环保
447	燕京啤酒	000729.XSHE	172.2128	0.16%	82.7	1.27	801120	食品饮料I	801123	饮料制造II	569.65	0.91	中证500
448	大参林	603233.XSHG	254.2344	4.6%	37.73	7.58	801150	医药生物I	801154	医药商业II	567.12	26.09	中证500,全指医药
449	东易日盛	002713.XSHE	26.8084	-0.16%	76.49	3.18	801720	建筑装饰I	801722	装修装饰II	565.88	-0.91	中证红利
450	潞安环能	601699.XSHG	205.80900000000003	0.58%	8.08	0.79	801020	采掘I	801021	煤炭开采II	564.54	3.27	中证500
451	信邦制药	002390.XSHE	89.8636	0.0%	-6.61	1.84	801150	医药生物I	801155	中药II	563.95	0.0	中证500,全指医药
452	葛洲坝	600068.XSHG	285.0357	-0.32%	5.62	0.98	801720	建筑装饰I	801723	基础建设II	562.65	-1.8	沪深300,300价值,中证环保
453	天齐锂业	002466.XSHE	337.6858	-0.74%	51.91	3.32	801050	有色金属I	801054	稀有金属II	560.67	-4.15	沪深300,中证环保
454	吉祥航空	603885.XSHG	273.0974	0.29%	26.4	2.18	801170	交通运输I	801173	航空运输II	556.88	1.61	中证500
455	海能达	002583.XSHE	161.1467	0.91%	35.48	2.61	801770	通信I	801102	通信设备II	556.88	5.07	中证500
456	通威股份	600438.XSHG	493.0883	2.28%	18.94	3.02	801730	电气设备I	801733	电源设备II	556.86	12.7	沪深300,中证环保
457	新华网	603888.XSHG	104.3249	0.15%	39.0	3.69	801760	传媒I	801752	互联网传媒II	555.79	0.83	中证500,中证传媒
458	北方导航	600435.XSHG	116.4648	0.26%	234.57	5.47	801740	国防军工I	801743	地面兵装II	554.32	1.44	中证500
459	东莞控股	000828.XSHE	81.81	-0.51%	6.98	1.17	801170	交通运输I	801175	高速公路II	554.21	-2.83	中证1000,中证红利
460	贝达药业	300558.XSHE	297.7425	-8.63%	136.83	12.56	801150	医药生物I	801151	化学制药II	552.24	-47.66	中证1000,创业板,全指医药
461	恩捷股份	002812.XSHE	335.8396	-2.64%	40.58	7.8	801030	化工I	801034	化学制品II	551.77	-14.57	中证500
462	电广传媒	000917.XSHE	85.1951	-0.67%	29.26	0.81	801760	传媒I	801761	文化传媒II	551.36	-3.69	中证1000,中证传媒
463	高德红外	002414.XSHE	184.5613	0.2%	68.4	5.21	801080	电子I	801082	其他电子II	549.21	1.1	中证500
464	中源协和	600645.XSHG	76.7471	0.67%	-42.21	2.29	801150	医药生物I	801152	生物制品II	548.83	3.68	中证500,全指医药
465	海王生物	000078.XSHE	89.2314	0.0%	25.62	1.4	801150	医药生物I	801154	医药商业II	547.6	0.0	中证500,全指医药
466	立讯精密	002475.XSHE	1836.8472	-2.8%	46.47	10.03	801080	电子I	801085	电子制造II	547.58	-15.33	沪深300,基本面120
467	三一重工	600031.XSHG	1250.3469	-2.22%	12.03	2.93	801890	机械设备I	801074	专用设备II	544.11	-12.08	上证50,沪深300
468	南钢股份	600282.XSHG	145.2533	0.3%	4.93	0.88	801040	钢铁I	801041	钢铁II	544.1	1.63	中证500
469	上海电气	601727.XSHG	709.1352	0.0%	23.18	1.15	801730	电气设备I	801733	电源设备II	544.06	0.0	沪深300,中证环保
470	江苏银行	600919.XSHG	789.6424	0.29%	5.38	0.73	801780	银行I	801192	银行II	543.21	1.58	沪深300,300价值,金融地产
471	和邦生物	603077.XSHG	127.17	0.69%	33.5	1.14	801030	化工I	801033	化学原料II	541.55	3.74	中证500
472	中际旭创	300308.XSHE	308.3475	0.83%	61.73	4.58	801770	通信I	801102	通信设备II	541.53	4.49	中证500,创业板
473	中材科技	002080.XSHE	150.8633	-0.22%	12.49	1.47	801030	化工I	801034	化学制品II	540.04	-1.19	中证1000,中证环保
474	马应龙	600993.XSHG	75.4344	-2.46%	21.63	3.02	801150	医药生物I	801155	中药II	540.04	-13.28	中证500,全指医药
475	内蒙华电	600863.XSHG	148.6969	0.78%	11.84	1.28	801160	公用事业I	801161	电力II	538.99	4.2	中证500
476	中远海能	600026.XSHG	231.0355	-0.35%	24.1	0.82	801170	交通运输I	801176	航运II	538.99	-1.89	中证500
477	贵州百灵	002424.XSHE	115.8595	0.37%	24.02	2.85	801150	医药生物I	801155	中药II	537.49	1.99	中证500,全指医药
478	中国动力	600482.XSHG	369.0006	0.96%	34.86	1.41	801740	国防军工I	801744	船舶制造II	537.33	5.16	沪深300,中证环保
479	赣锋锂业	002460.XSHE	355.4651	-1.16%	61.28	4.49	801050	有色金属I	801054	稀有金属II	537.07	-6.23	沪深300,中证环保
480	太极股份	002368.XSHE	139.0235	0.59%	43.07	4.89	801750	计算机I	801222	计算机应用II	536.44	3.16	中证500
481	中国银河	601881.XSHG	1040.0826	0.58%	21.32	1.5	801790	非银金融I	801193	证券II	536.18	3.11	沪深300,证券公司,金融地产
482	马钢股份	600808.XSHG	210.2286	0.0%	11.52	0.77	801040	钢铁I	801041	钢铁II	533.89	0.0	中证500
483	闰土股份	002440.XSHE	124.4841	0.74%	9.06	1.47	801030	化工I	801034	化学制品II	531.33	3.93	中证500
484	药明康德	603259.XSHG	1485.0135	-4.04%	70.81	8.61	801150	医药生物I	801156	医疗服务II	531.29	-21.46	上证50,沪深300,全指医药
485	金科文化	300459.XSHE	103.1171	0.0%	14.18	1.45	801760	传媒I	801752	互联网传媒II	529.98	0.0	中证500,创业板,中证传媒
486	航发控制	000738.XSHE	145.9548	0.31%	52.44	2.62	801740	国防军工I	801742	航空装备II	528.78	1.64	中证500
487	海南橡胶	601118.XSHG	198.5654	-1.72%	-148.87	2.05	801010	农林牧渔I	801016	种植业II	528.78	-9.1	中证500
488	三聚环保	300072.XSHE	141.6881	-1.33%	-21.28	1.53	801030	化工I	801034	化学制品II	528.29	-7.03	沪深300,创业板,中证环保
489	旋极信息	300324.XSHE	88.2303	0.2%	-116.66	1.68	801750	计算机I	801222	计算机应用II	526.62	1.05	中证500,创业板
490	景旺电子	603228.XSHG	252.2732	1.46%	31.34	4.85	801080	电子I	801083	元件II	523.67	7.65	中证500
491	中国一重	601106.XSHG	192.0179	0.0%	247.21	1.75	801890	机械设备I	801074	专用设备II	521.11	0.0	中证500
492	联美控股	600167.XSHG	272.515	0.42%	18.16	4.05	801160	公用事业I	801161	电力II	521.11	2.19	中证500
493	城投控股	600649.XSHG	139.1267	0.18%	21.6	0.73	801180	房地产I	801181	房地产开发II	520.55	0.94	中证500,金融地产
494	深圳能源	000027.XSHE	237.8695	0.33%	13.22	0.99	801160	公用事业I	801161	电力II	518.18	1.71	基本面60,基本面120,中证500
495	华邦健康	002004.XSHE	91.6703	0.43%	17.28	1.0	801030	化工I	801034	化学制品II	516.0	2.22	中证500
496	洲明科技	300232.XSHE	73.4411	0.25%	14.94	2.74	801080	电子I	801084	光学光电子II	515.83	1.29	中证1000,中证环保
497	华远地产	600743.XSHG	55.368	0.85%	7.31	0.7	801180	房地产I	801181	房地产开发II	514.94	4.38	中证红利
498	唐山港	601000.XSHG	148.7408	0.4%	8.46	0.9	801170	交通运输I	801171	港口II	513.45	2.05	中证500
499	华夏银行	600015.XSHG	1146.3481	0.13%	5.31	0.57	801780	银行I	801192	银行II	511.37	0.66	沪深300,300价值,金融地产
500	太阳能	000591.XSHE	101.6399	0.0%	10.57	0.77	801160	公用事业I	801161	电力II	510.55	0.0	中证1000,中证环保
501	东方园林	002310.XSHE	124.3369	-1.08%	-46.98	1.07	801720	建筑装饰I	801725	园林工程II	510.25	-5.51	沪深300,中证环保
502	中科三环	000970.XSHE	96.081	-0.89%	44.35	2.12	801050	有色金属I	801051	金属非金属新材料II	508.34	-4.52	中证500
503	绿色动力	601330.XSHG	120.5326	0.29%	36.98	3.76	801160	公用事业I	801162	环保工程及服务II	507.47	1.47	中证1000,中证环保
504	新奥股份	600803.XSHG	125.0255	-0.29%	9.18	1.34	801030	化工I	801034	化学制品II	506.86	-1.47	中证1000,中证环保
505	三环集团	300408.XSHE	314.6409	4.38%	29.85	4.31	801080	电子I	801083	元件II	506.6	22.19	沪深300,创业板
506	华菱钢铁	000932.XSHE	191.2525	-0.22%	4.46	0.92	801040	钢铁I	801041	钢铁II	505.46	-1.11	基本面60,基本面120,中证500
507	中兴通讯	000063.XSHE	1295.2563	-1.17%	29.41	4.66	801770	通信I	801102	通信设备II	504.83	-5.91	沪深300,基本面60,基本面120
508	深科技	000021.XSHE	140.211	-0.31%	38.77	2.17	801080	电子I	801085	电子制造II	503.23	-1.56	中证500
509	南洋股份	002212.XSHE	185.3573	-0.75%	53.25	2.21	801750	计算机I	801222	计算机应用II	500.68	-3.76	中证500
510	中粮科技	000930.XSHE	117.5102	-0.31%	35.42	1.22	801010	农林牧渔I	801012	农产品加工II	495.57	-1.54	中证500
511	滨江集团	002244.XSHE	132.8587	0.0%	9.69	0.83	801180	房地产I	801181	房地产开发II	495.25	0.0	基本面120,中证500,金融地产
512	万华化学	600309.XSHG	1551.0348	-2.89%	31.34	3.84	801030	化工I	801034	化学制品II	493.61	-14.27	上证50,沪深300
513	林洋能源	601222.XSHG	76.8102	0.0%	9.61	0.79	801730	电气设备I	801732	电气自动化设备II	492.19	0.0	中证1000,中证环保
514	同花顺	300033.XSHE	491.689	-0.26%	63.55	13.84	801750	计算机I	801222	计算机应用II	488.82	-1.27	沪深300,创业板
515	西南证券	600369.XSHG	241.6107	0.93%	40.15	1.26	801790	非银金融I	801193	证券II	488.04	4.54	沪深300,证券公司,金融地产
516	海信电器	600060.XSHG	122.6047	1.6%	38.12	0.86	801110	家用电器I	801112	视听器材II	485.35	7.77	中证500
517	中国中车	601766.XSHG	2008.9205	-0.29%	16.48	1.52	801890	机械设备I	801076	运输设备II	483.13	-1.4	上证50,沪深300
518	际华集团	601718.XSHG	139.6538	-0.63%	-71.8	0.78	801130	纺织服装I	801132	服装家纺II	482.8	-3.04	中证500
519	怡亚通	002183.XSHE	86.6061	0.0%	-72.65	1.44	801170	交通运输I	801178	物流II	482.73	0.0	基本面120,中证500
520	岭南股份	002717.XSHE	68.2509	-0.23%	13.35	1.47	801720	建筑装饰I	801725	园林工程II	480.98	-1.11	中证1000,中证环保
521	万向钱潮	000559.XSHE	138.7592	0.4%	24.85	2.73	801880	汽车I	801093	汽车零部件II	477.69	1.91	基本面120,中证500
522	新钢股份	600782.XSHG	152.4209	0.63%	3.31	0.73	801040	钢铁I	801041	钢铁II	477.69	3.01	中证500
523	中山公用	000685.XSHE	115.3537	-0.13%	13.69	0.89	801160	公用事业I	801164	水务II	477.69	-0.62	中证500
524	中国西电	601179.XSHG	179.9185	0.57%	29.56	0.91	801730	电气设备I	801734	高低压设备II	475.13	2.71	中证500
525	苏交科	300284.XSHE	76.4497	-0.64%	11.23	1.69	801720	建筑装饰I	801723	基础建设II	474.77	-3.04	中证1000,中证环保
526	百联股份	600827.XSHG	155.7579	0.46%	17.53	0.88	801200	商业贸易I	801203	一般零售II	472.58	2.17	中证500
527	四川路桥	600039.XSHG	116.62	0.0%	7.98	0.8	801720	建筑装饰I	801723	基础建设II	472.58	0.0	中证500
528	塔牌集团	002233.XSHE	129.958	-1.28%	8.51	1.42	801710	建筑材料I	801711	水泥制造II	471.74	-6.04	基本面120,中证500
529	中体产业	600158.XSHG	77.1174	0.66%	106.71	4.52	801760	传媒I	801761	文化传媒II	471.24	3.11	中证500,金融地产
530	中金环境	300145.XSHE	60.396	0.0%	23.1	1.18	801890	机械设备I	801072	通用机械II	471.2	0.0	中证1000,创业板,中证环保
531	海尔智家	600690.XSHG	1108.7529	-1.95%	12.25	2.52	801110	家用电器I	801111	白色家电II	470.94	-9.18	上证50,沪深300,300价值
532	中青旅	600138.XSHG	85.196	-0.85%	14.3	1.3	801210	休闲服务I	801214	旅游综合II	470.02	-4.0	中证500
533	新潮能源	600777.XSHG	137.37	0.5%	14.45	0.84	801020	采掘I	801023	石油开采II	470.02	2.35	中证500
534	桂冠电力	600236.XSHG	374.4129	0.0%	16.0	2.58	801160	公用事业I	801161	电力II	469.83	0.0	中证环保
535	聚光科技	300203.XSHE	63.0809	-1.43%	12.88	1.5	801160	公用事业I	801162	环保工程及服务II	469.34	-6.71	中证1000,创业板,中证环保
536	金钼股份	601958.XSHG	232.9608	-0.83%	38.77	1.77	801050	有色金属I	801054	稀有金属II	464.91	-3.86	中证500
537	天健集团	000090.XSHE	93.801	0.2%	10.95	1.35	801180	房地产I	801181	房地产开发II	464.91	0.93	中证500
538	海航基础	600515.XSHG	150.0516	0.0%	12.45	0.48	801180	房地产I	801181	房地产开发II	462.86	0.0	中证500,金融地产
539	重庆百货	600729.XSHG	112.7303	-0.14%	11.66	1.82	801200	商业贸易I	801203	一般零售II	462.36	-0.65	中证500
540	云铝股份	000807.XSHE	115.7436	0.0%	-9.01	1.35	801050	有色金属I	801055	工业金属II	462.36	0.0	中证500
541	外高桥	600648.XSHG	186.5379	0.0%	20.56	1.75	801180	房地产I	801182	园区开发II	459.81	0.0	中证500
542	海天味业	603288.XSHG	2953.9341	-1.09%	58.28	19.61	801120	食品饮料I	801124	食品加工II	457.67	-4.99	沪深300
543	中化国际	600500.XSHG	135.3958	0.2%	19.56	1.17	801030	化工I	801034	化学制品II	457.25	0.91	中证500
544	九阳股份	002242.XSHE	171.6477	-1.16%	21.38	4.86	801110	家用电器I	801111	白色家电II	457.25	-5.3	中证500
545	北大荒	600598.XSHG	164.6132	-0.22%	16.88	2.43	801010	农林牧渔I	801016	种植业II	457.25	-1.01	中证500
546	皖新传媒	601801.XSHG	101.4494	-0.39%	16.76	0.99	801760	传媒I	801761	文化传媒II	454.64	-1.77	中证500,中证传媒
547	京运通	601908.XSHG	56.6017	-0.35%	40.57	0.82	801730	电气设备I	801733	电源设备II	452.98	-1.59	中证1000,中证环保
548	健帆生物	300529.XSHE	298.8	-2.54%	58.13	15.14	801150	医药生物I	801153	医疗器械II	452.18	-11.49	中证1000,创业板,全指医药
549	浙商证券	601878.XSHG	277.3343	0.6%	31.37	1.96	801790	非银金融I	801193	证券II	451.73	2.71	沪深300,证券公司,金融地产
550	光明乳业	600597.XSHG	136.2855	0.27%	35.24	2.48	801120	食品饮料I	801124	食品加工II	449.59	1.21	中证500
551	神州高铁	000008.XSHE	96.7717	0.57%	27.66	1.34	801890	机械设备I	801076	运输设备II	449.59	2.56	中证500
552	大富科技	300134.XSHE	102.76799999999999	-1.19%	72.16	1.9	801770	通信I	801102	通信设备II	447.03	-5.32	中证500
553	华侨城A	000069.XSHE	567.6134	-0.14%	4.94	0.91	801180	房地产I	801181	房地产开发II	446.33	-0.62	沪深300,300价值,基本面60,基本面120,金融地产
554	思源电气	002028.XSHE	99.5874	8.02%	21.41	2.03	801730	电气设备I	801734	高低压设备II	444.48	35.65	中证500
555	长园集团	600525.XSHG	78.0963	-0.34%	-4.65	1.69	801730	电气设备I	801732	电气自动化设备II	444.48	-1.51	中证500
556	爱康科技	002610.XSHE	69.1325	0.0%	146.8	1.16	801160	公用事业I	801161	电力II	444.34	0.0	中证1000,中证环保
557	常山北明	000158.XSHE	96.6932	-1.54%	51.55	1.64	801750	计算机I	801222	计算机应用II	441.92	-6.81	中证500
558	神州泰岳	300002.XSHE	61.7744	-0.32%	-98.34	1.25	801750	计算机I	801222	计算机应用II	441.49	-1.41	中证500,创业板
559	智度股份	000676.XSHE	113.37299999999999	-0.94%	20.25	1.75	801760	传媒I	801752	互联网传媒II	438.77	-4.12	中证1000,中证传媒
